"unitid","revenue","expenditure","enrollment","partic","women"
152336,11229.599,11229.599,483.307692307692,575,0
152363,1014.504,1014.504,437,155,0
152381,1267.318,1266.498,80.8181818181818,117,0
152530,7035.871,6856.648,819,699,0
152567,4870.925,4667.658,1317.5,1450,0
152600,22355.918,21746.953,1410,963,0
152637,4868.046,4868.046,2362,392,0
152992,8023.039,8002.35,372.6,858,0
153001,2506.227,2405.715,530.4,596,0
153108,2644.058,2644.058,573.2,1127,0
153126,6589.209,6589.209,272.2,743,0
153144,2987.75,2954.396,580.2,811,0
153162,2579.798,2579.798,510.851851851852,716,0
153214,1007.345,1007.345,2988.90909090909,138,0
153250,7890.653,7890.653,717,933,0
153269,22162.317,23351.067,1247.8,751,0
153278,3891.548,3891.548,983.972972972973,1040,0
153296,428.022,428.022,322.166666666667,98,0
153302,187.091,185.276,97,61,0
153311,303.236,303.236,685.444444444444,122,0
153320,414.807,414.807,98.5263157894737,199,0
153366,6397.522,6397.522,492.486486486487,1044,0
153375,12390.52,12390.52,734.083333333333,1441,0
153384,4015.687,4015.687,762.6,1022,0
153445,946.016,946.016,1100.375,373,0
153472,1261.684,1226.889,965.2,636,0
153524,4153.177,4153.177,1465.02127659574,1514,0
153533,2512.941,2512.941,522.6,372,0
153603,65158.516,48789.431,16048,587,0
153621,997.663,997.663,255.055555555556,361,0
153630,6003.493,5999.49,1330.72,813,0
153658,57180.887,67587.38,9751.2,987,0
153737,963.763,925.274,2642.2,78,0
153825,4156.623,4156.619,719.8,1526,0
153834,3789.93,3397.606,900.2,1253,0
153922,962.401,962.401,349.8,89,0
154004,7327.325,7256.685,594.975609756098,1127,0
154013,7208.855,7003.86,345.315789473684,1103,0
154022,346.625,346.625,11040,36,0
154059,2220.488,1985.654,636,509,0
154095,19410.754,18824.605,3668.2,691,0
154101,6452.461,6431.895,448.347826086957,913,0
154235,8811.243,8719.291,969.086956521739,1416,0
154350,2554.533,2554.533,588.894736842105,1038,0
154378,2613.032,2603.371,511.538461538462,186,0
154396,967.453,967.453,317.875,335,0
154493,5249.981,5107.31,824.647058823529,347,0
154518,6229.145,6229.145,910.206896551724,636,0
154527,2900.42,2900.42,680.108108108108,1307,0
154590,10751.723,10747.799,637.027027027027,674,0
154642,1630.636,1630.636,395.8,590,0
154688,12964.831,13070.286,474.290322580645,931,0
154697,4100.48,4100.48,470.333333333333,903,0
154712,7402.251,7402.251,886,747,0
154721,15649.403,15377.82,414.424242424242,957,0
154749,3470.109,3449.008,226.4,383,0
